id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
13,en,Forrest Gump,48.079,6/07/1994,8.5,21522,"['Comedy', 'Drama', 'Romance']","A man with a low IQ has accomplished great things in his life and been present during significant historic eventsâ€”in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",677387716,142,Life is like a box of chocolates...you never know what you're gonna get.
522924,en,The Art of Racing in the Rain,25.235,8/08/2019,8.4,915,"['Comedy', 'Drama', 'Romance']","A family dog - with a near-human soul and a philosopher's mind - evaluates his life through the lessons learned by his human owner, a race-car driver.",33766787,109,Meet the dog who will show the world how to be human
901,en,City Lights,17.014,1/02/1931,8.4,1507,"['Comedy', 'Drama', 'Romance']","In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",4250000,87,True Blind Love
914,en,The Great Dictator,19.241,23/10/1940,8.4,2423,"['Comedy', 'War']",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,11000000,125,Once again - the whole world laughs!
3082,en,Modern Times,11.894,11/02/1936,8.3,2758,"['Comedy', 'Drama']",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,8500000,87,"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!"
337404,en,Cruella,510.735,26/05/2021,8.3,5879,"['Comedy', 'Crime']","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estellaâ€™s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",233274812,134,Hello Cruel World
284,en,The Apartment,15.763,21/06/1960,8.2,1587,"['Comedy', 'Drama', 'Romance']","Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",25000000,125,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!"
872,en,Singin' in the Rain,16.645,9/04/1952,8.2,2253,"['Comedy', 'Music', 'Romance']","In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.",7200000,103,What a Glorious Feeling!
100,en,"Lock, Stock and Two Smoking Barrels",11.675,28/08/1998,8.2,5089,"['Comedy', 'Crime']",A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,28356188,105,A Disgrace to Criminals Everywhere.
9277,en,The Sting,19.217,25/12/1973,8.1,1838,"['Comedy', 'Crime', 'Drama']",Set in the 1930s this intricate caper deals with an ambitious small-time crook and a veteran con man who seek revenge on a vicious crime lord who murdered one of their gang.,159616327,129,...all it takes is a little confidence.
449176,en,"Love, Simon",31.878,16/02/2018,8.1,5153,"['Comedy', 'Drama', 'Romance']",Everyone deserves a great love story. But for seventeen-year old Simon Spier it's a little more complicated: he's yet to tell his family or friends he's gay and he doesn't know the identity of the anonymous classmate he's fallen for online.,66316289,110,He's done keeping his story straight.
515001,en,Jojo Rabbit,33.544,18/10/2019,8.1,6695,"['Comedy', 'War', 'Drama']","A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.",82468705,108,An anti-hate satire.
37165,en,The Truman Show,35.746,4/06/1998,8.1,13863,"['Comedy', 'Drama']","Truman Burbank is the star of The Truman Show, a 24-hour-a-day reality TV show that broadcasts every aspect of his life without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows, including his wife and his best friend is really an actor, paid to be part of his life.",264118201,103,The World is Watching
120467,en,The Grand Budapest Hotel,36.015,26/02/2014,8,11593,"['Comedy', 'Drama']","The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protÃ©gÃ©. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",174600318,100,A murder case of Madam D. With enormous wealth and the most outrageous events surrounding her sudden death!
3078,en,It Happened One Night,10.181,22/02/1934,7.9,837,"['Comedy', 'Romance']","A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",4500000,105,Together for the first time!
3034,en,Young Frankenstein,15.285,15/12/1974,7.9,2430,['Comedy'],"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",86273333,106,The scariest comedy of all time!
583083,en,The Kissing Booth 2,72.461,24/07/2020,7.9,4353,"['Comedy', 'Romance']","With college decisions looming, Elle juggles her long-distance romance with Noah, changing relationship with bestie Lee and feelings for a new classmate.",0,132,Rules can be broken...but so can hearts.
546554,en,Knives Out,55.039,27/11/2019,7.9,7991,"['Comedy', 'Drama', 'Crime', 'Mystery']","When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",309232797,131,"Hell, any of them could have done it."
115,en,The Big Lebowski,25.595,6/03/1998,7.9,8817,"['Comedy', 'Crime']","Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",46748047,117,Times like these call for a Big Lebowski.
313369,en,La La Land,25.383,29/11/2016,7.9,13704,"['Comedy', 'Drama', 'Romance', 'Music']","Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",448900000,129,Here's to the fools who dream.
707886,en,Feel the Beat,17.727,19/06/2020,7.8,899,"['Comedy', 'Music', 'Drama']","After failing to make it on Broadway, April returns to her hometown and reluctantly begins training a misfit group of young dancers for a competition.",0,107,Take your chance. Make your move.
703,en,Annie Hall,16.249,19/04/1977,7.8,3052,"['Comedy', 'Drama', 'Romance']",New York comedian Alvy Singer falls in love with the ditsy Annie Hall.,38251425,93,A nervous romance.
583,en,Life of Brian,19.51,17/08/1979,7.8,3297,['Comedy'],"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",20045115,94,He wasn't the messiah. He was a very naughty boy.
